,country,time,lex
973,and,2020,78.25
974,and,2021,79.58
975,and,2022,82.73
976,and,2023,82.89
977,and,2024,83.04
978,and,2025,83.19
979,and,2026,83.33
980,and,2027,83.47
981,and,2028,83.61
982,and,2029,83.75
983,and,2030,83.88
984,and,2031,84.01
985,and,2032,84.14
986,and,2033,84.26
987,and,2034,84.39
988,and,2035,84.52
989,and,2036,84.65
990,and,2037,84.78
991,and,2038,84.9
992,and,2039,85.03
993,and,2040,85.15
994,and,2041,85.28
995,and,2042,85.4
996,and,2043,85.52
997,and,2044,85.65
998,and,2045,85.77
999,and,2046,85.89
1000,and,2047,86.01
1001,and,2048,86.14
1002,and,2049,86.26
1003,and,2050,86.38
1004,and,2051,86.5
1005,and,2052,86.62
1006,and,2053,86.73
1007,and,2054,86.85
1008,and,2055,86.97
1009,and,2056,87.08
1010,and,2057,87.2
1011,and,2058,87.32
1012,and,2059,87.43
1013,and,2060,87.54
1014,and,2061,87.67
1015,and,2062,87.78
1016,and,2063,87.89
1017,and,2064,88.01
1018,and,2065,88.12
1019,and,2066,88.23
1020,and,2067,88.35
1021,and,2068,88.46
1022,and,2069,88.58
1023,and,2070,88.69
1024,and,2071,88.8
1025,and,2072,88.91
1026,and,2073,89.02
1027,and,2074,89.13
1028,and,2075,89.24
1029,and,2076,89.35
1030,and,2077,89.46
1031,and,2078,89.57
1032,and,2079,89.68
1033,and,2080,89.79
1034,and,2081,89.9
1035,and,2082,90.02
1036,and,2083,90.12
1037,and,2084,90.24
1038,and,2085,90.35
1039,and,2086,90.46
1040,and,2087,90.57
1041,and,2088,90.67
1042,and,2089,90.79
1043,and,2090,90.9
1044,and,2091,91.02
1045,and,2092,91.14
1046,and,2093,91.25
1047,and,2094,91.36
1048,and,2095,91.47
1049,and,2096,91.59
1050,and,2097,91.71
1051,and,2098,91.82
1052,and,2099,91.93
1053,and,2100,92.04
1054,are,1800,30.7
1055,are,1801,30.7
1056,are,1802,30.7
1057,are,1803,30.7
1058,are,1804,30.7
1059,are,1805,30.7
1060,are,1806,30.7
1061,are,1807,30.7
1062,are,1808,30.7
1063,are,1809,30.7
1064,are,1810,30.7
1065,are,1811,30.7
1066,are,1812,30.7
1067,are,1813,30.7
1068,are,1814,30.7
1069,are,1815,30.7
1070,are,1816,30.7
1071,are,1817,30.7
1072,are,1818,30.7
1073,are,1819,30.7
1074,are,1820,30.7
1075,are,1821,30.7
1076,are,1822,30.7
1077,are,1823,30.7
1078,are,1824,30.7
1079,are,1825,30.7
1080,are,1826,30.7
1081,are,1827,30.7
1082,are,1828,30.7
1083,are,1829,30.7
1084,are,1830,30.7
1085,are,1831,30.7
1086,are,1832,30.7
1087,are,1833,30.7
1088,are,1834,30.7
1089,are,1835,30.7
1090,are,1836,30.7
1091,are,1837,30.7
1092,are,1838,30.7
1093,are,1839,30.7
1094,are,1840,30.7
1095,are,1841,30.7
1096,are,1842,30.7
1097,are,1843,30.7
1098,are,1844,30.7
1099,are,1845,30.7
1100,are,1846,30.7
1101,are,1847,30.7
1102,are,1848,30.7
1103,are,1849,30.7
1104,are,1850,30.7
1105,are,1851,30.83
1106,are,1852,30.96
1107,are,1853,31.08
1108,are,1854,31.21
1109,are,1855,31.34
1110,are,1856,31.47
1111,are,1857,31.6
1112,are,1858,31.72
1113,are,1859,31.85
1114,are,1860,31.98
1115,are,1861,32.11
1116,are,1862,32.24
1117,are,1863,32.36
1118,are,1864,32.49
1119,are,1865,32.62
1120,are,1866,32.75
1121,are,1867,32.88
1122,are,1868,33.0
1123,are,1869,33.13
1124,are,1870,33.26
1125,are,1871,33.39
1126,are,1872,33.51
1127,are,1873,33.64
1128,are,1874,33.77
1129,are,1875,33.9
1130,are,1876,34.03
1131,are,1877,34.15
1132,are,1878,34.28
1133,are,1879,34.41
1134,are,1880,34.54
1135,are,1881,34.67
1136,are,1882,34.79
1137,are,1883,34.92
1138,are,1884,35.05
1139,are,1885,35.18
1140,are,1886,35.31
1141,are,1887,35.43
1142,are,1888,35.56
1143,are,1889,35.69
1144,are,1890,35.82
1145,are,1891,35.95
1146,are,1892,36.07
1147,are,1893,36.2
1148,are,1894,36.33
1149,are,1895,36.46
1150,are,1896,36.59
1151,are,1897,36.71
1152,are,1898,36.84
1153,are,1899,36.97
1154,are,1900,37.1
1155,are,1901,37.23
1156,are,1902,37.35
1157,are,1903,37.48
1158,are,1904,37.61
1159,are,1905,37.74
1160,are,1906,37.87
1161,are,1907,37.99
1162,are,1908,38.12
1163,are,1909,38.25
1164,are,1910,38.38
1165,are,1911,38.5
1166,are,1912,38.63
1167,are,1913,38.76
1168,are,1914,38.89
1169,are,1915,39.02
